Skill,Count
javascript,71
jquery,56
c,50
java,50
html,48
sql,45
css,43
mvc,41
.net,38
c#,38
php,37
debugging,35
problem solving,34
mysql,34
asp.net,28
git,28
linux,27
rest,27
oops,25
python,24
html5,24
database,24
xml,24
ajax,19
json,18
mobile,17
bootstrap,16
soap,14
entity framework,14
algorithms,14
security,14
oracle,13
team player,13
written communication,12
svn,12
api,12
hibernate,11
web api,11
infrastructure,10
spring,10
information technology,10
data structures,10
windows,10
oop,9
object oriented programming,9
wordpress,9
software developer,9
angularjs,9
magento,9
codeigniter,8
linq,8
fundamentals,8
vb.net,8
mongodb,8
rdbms,8
j2ee,7
java programming,7
mvvm,7
docker,7
soa,7
microsoft technologies,7
technical skills,7
os,6
drupal,6
rest api,6
visual studio,6
web technologies,6
testing,6
itskills,6
triggers,6
cakephp,6
zend,6
pl  /  sql,5
c#.net,5
eclipse,5
uml,5
ipc,5
jsp,5
web development,5
joomla,5
php developer,4
nosql,4
embedded software,4
scala,4
spring boot,4
bug fixing,4
swing,4
apache,4
memory management,4
messaging,4
ooad,4
environment,4
microsoft .net,4
devops,4
unix,4
laravel,4
software design,4
ruby,4
big data,3
web services,3
angular,3
production support,3
ado.net,3
phonegap,3
asp .net,3
middleware,3
san,3
multithreading,3
microsoft azure,3
i2c,3
xamarin,3
node.js,3
service oriented architecture,3
cake,3
cloud computing,3
telecom,3
vb,3
postgresql,3
hl7,3
coding,3
storage,3
net,3
mvc architecture,3
qa,3
spring mvc,3
singleton,2
microservices,2
protocol stack,2
,2
yii,2
oscommerce,2
software development,2
server management,2
asp.net c#,2
.net developer,2
symfony,2
ejb,2
computer application,2
jee,2
technology,2
web application development,2
java developer,2
activex,2
mentor,2
n-tier,2
wcf,2
salesforce,2
uart,2
microcontroller,2
javascript developer,2
hardware,2
apex,2
web developer,2
design patterns,2
unit testing,2
software requirements,2
network programming,2
data warehousing,2
tfs,2
installshield,2
cassandra,2
communication,2
enterprise java,2
hosting,2
shell scripting,2
django,2
grunt,2
smarty,2
lamp,2
autosys,2
usb,2
websphere,2
github,2
imaging,2
maven,2
ssrs,2
ant,2
software implementation,2
t-sql,2
mfc,2
servlets,2
director,2
digital signal processing,2
forms,2
machine learning,2
xsd,2
web designing,2
perl,2
iam,2
software delivery,2
