Company,Skills
vivo healthcare pvt ltd.,"('dialysis', 'gnm', 'nursing', 'training in classroom')"
Nightingales,"('home care', 'nursing', 'waste segregation')"
Aarogyam,"('gnm', 'paramedic', 'nursing', 'medical instruments')"
kem hospital parel,"('nursing', 'community health', 'participate actively')"
kem hospital parel,"('nursing procedures', 'patient care', 'training coordination', 'documentation management', 'soft skills training', 'nabh', 'nursing care', 'patient safety', 'clinical instructor', 'nursing staff')"
SEVEN CONSULTANCY,"('ot', 'nursing', 'biomedical engineer', 'ot technician', 'anesthesia')"
BUSISOL SOURCING INDIA PVT. LTD,"('physiotherapy', 'hydrotherapy', 'nursing', 'manual therapy', 'physiotherapist')"
GLOCAL HEALTH CARE SYSTEM PVT LTD,"('health', 'emergency', 'medical services', 'patient care', 'healthcare', 'nursing staff', 'icu', 'nursing care')"
IQVIA,"('clinical education', 'medical devices', 'nursing expertise', 'peer to peer education', 'healthcare professionals', 'oncology', 'nurse', 'icu', 'patient care')"
IQVIA,"('clinical education', 'medical devices', 'leadership development', 'customer support', 'healthcare collaboration', 'nursing', 'oncology', 'nurse', 'icu', 'patient care')"
IQVIA,"('clinical education', 'medical devices', 'nursing expertise', 'peer to peer training', 'healthcare collaboration', 'oncology', 'nurse', 'icu', 'patient care')"
IQVIA,"('clinical education', 'medical devices', 'nursing expertise', 'peer education', 'professional acumen', 'oncology', 'healthcare', 'nurse', 'icu', 'patient care')"
IQVIA,"('clinical education', 'medical devices', 'training registered nurses', 'oncology experience', 'leadership in healthcare', 'nursing', 'patient care')"
IQVIA,"('clinical education  nursing expertise  in servicing  medical devices  peer to peer', 'oncology', 'healthcare', 'nurse', 'icu', 'patient care')"
RG STONE UROLOGY & LAPAROSCOPY HOSPITAL,"('patient care', 'inventory management', 'quality assurance', 'drug dispensing', 'pharmaceutical liaison', 'pharmacist', 'nursing', 'nurse')"
IQVIA,"('clinical education', 'medical devices', 'training nurses', 'hemodynamics', 'travel flexibility', 'nursing', 'healthcare', 'icu', 'patient care')"
"Srv global consultancy Pvt Ltd
     (More Jobs)","('pharmaceutical', 'medical', 'doctor', 'medical doctor', 'general physician', 'healthcare management', 'hospital administrator', 'healthcare', 'medical devices', 'nurse', 'nursing')"
"Srv global consultancy Pvt Ltd
     (More Jobs)","('hospital administration', 'healthcare', 'healthcare management', 'hospital management', 'hospital operations', 'hospital administrator', 'nurse', 'nursing', 'doctor', 'medical', 'medicine')"
BOSTON SCIENTIFIC,"('clinical support', 'patient care', 'communication skills', 'problem solving', 'team collaboration', 'nursing', 'healthcare', 'rehabilitation', 'nurse', 'physician', 'medical assistant', 'occupational therapist', 'nurse assistant', 'urology', 'occupational therapy')"
Dolphin Placements,"('client dealing', 'recruitment', 'housekeeping staff', 'nurse', 'manpower supervision')"
vivo healthcare pvt ltd.,"('operation theatre', 'ot', 'gnm', 'operation theatre technician', 'nursing', 'ot technician')"
GLOCAL HEALTH CARE SYSTEM PVT LTD,"('x-ray', 'health', 'nursing', 'hospital administration', 'medical research', 'healthcare')"
GLOCAL HEALTH CARE SYSTEM PVT LTD,"('x-ray', 'radiology', 'health', 'nursing', 'hospital administration', 'medical research', 'healthcare')"
GLOCAL HEALTH CARE SYSTEM PVT LTD,"('x-ray', 'ot', 'health', 'nursing', 'hospital administration', 'medical research', 'healthcare')"
IQVIA,"('clinical education', 'medical device', 'patient advocacy', 'healthcare collaboration', 'peer to peer training', 'nursing', 'oncology', 'nurse', 'icu', 'patient care')"
IQVIA,"('clinical education', 'nursing expertise', 'medical device technology', 'peer to peer education', 'professional growth', 'oncology', 'healthcare', 'nurse', 'icu', 'patient care')"
IQVIA,"('clinical education', 'medical device', 'nursing expertise', 'peer to peer education', 'project management', 'oncology', 'healthcare', 'nurse', 'icu', 'patient care')"
RG STONE UROLOGY & LAPAROSCOPY HOSPITAL,"('pharmacy management', 'inventory control', 'dispensing medications', 'quality assurance', 'pharmaceutical knowledge', 'pharmacist', 'nursing', 'nabh', 'nurse', 'ot', 'patient care')"
IQVIA,"('clinical education', 'medical devices', 'respiratory therapy', 'peer education', 'nursing expertise', 'healthcare', 'nurse', 'icu', 'crt', 'intensive care', 'patient care')"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('critical care', 'anaesthesia', 'nurse', 'staff nurse', 'coder', 'medical lab technician', 'lab technician', 'laboratory technician', 'coding', 'coding', 'medical coder', 'world overseas')"
"Srv global consultancy Pvt Ltd
     (More Jobs)","('neuroseugeon', 'hospital', 'healthcare', 'healthcare management', 'doctor', 'physician', 'mbbs', 'general practitioner', 'medical doctor', 'nurse', 'nursing', 'medical', 'pharmaceutical', 'pharma')"
"Srv global consultancy Pvt Ltd
     (More Jobs)","('lab assistant', 'medical', 'doctor', 'medical officer', 'healthcare', 'healthcare industry', 'lab testing', 'lab technician', 'medical lab technician', 'hospital', 'nurse', 'nursing')"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('lab technician', 'cathlab', 'cath lab', 'cardiac', 'icu', 'cardiology', 'neurology', 'oncology', 'pediatric', 'nicu', 'dialysis', 'critical care', 'healthcare', 'lab', 'anaesthesia', 'nurse', 'staff nurse')"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('cathlab', 'cath lab', 'cardiac', 'icu', 'cardiology', 'neurology', 'pediatric', 'nicu', 'dialysis', 'nurse', 'staff nurse', 'optometrist', 'optometry', 'refraction', 'eye testing', 'contact lens', 'low vision')"
SEVEN CONSULTANCY,"('bhms', 'intensive care', 'ill', 'bams', 'bhms doctor', 'physician assistant', 'medical officer', 'nursing staff', 'icu')"
kem hospital parel,"('nursing care', 'hospital experience', 'operation management', 'staff coordination', 'equipment maintenance', 'ot', 'gnm', 'emergency')"
"World wide Immigration Service Llp
     (More Jobs)","('ot nurse', 'ot technician', 'ot management', 'ot prepration', 'ot -pre duties', 'post duty')"
