Skill,Count
javascript,71
jquery,56
c,50
java,50
html,48
sql,45
css,43
mvc,41
.net,38
c#,38
php,37
debugging,35
problem solving,34
mysql,34
asp.net,28
git,28
linux,27
rest,27
oops,25
python,24
html5,24
database,24
xml,24
ajax,19
json,18
mobile,17
bootstrap,16
soap,14
entity framework,14
algorithms,14
security,14
oracle,13
team player,13
written communication,12
svn,12
api,12
hibernate,11
web api,11
infrastructure,10
spring,10
information technology,10
data structures,10
windows,10
oop,9
object oriented programming,9
wordpress,9
software developer,9
angularjs,9
magento,9
codeigniter,8
linq,8
fundamentals,8
vb.net,8
mongodb,8
rdbms,8
j2ee,7
java programming,7
mvvm,7
docker,7
soa,7
microsoft technologies,7
technical skills,7
os,6
drupal,6
rest api,6
visual studio,6
web technologies,6
testing,6
itskills,6
triggers,6
cakephp,6
zend,6
pl  /  sql,5
c#.net,5
eclipse,5
uml,5
ipc,5
jsp,5
web development,5
joomla,5
