Skill,Frequency
javascript,3.709508881922675
jquery,2.9258098223615465
c,2.612330198537095
java,2.612330198537095
html,2.507836990595611
sql,2.3510971786833856
css,2.246603970741902
mvc,2.1421107628004177
.net,1.9853709508881923
c#,1.9853709508881923
php,1.9331243469174502
debugging,1.8286311389759664
problem solving,1.7763845350052248
mysql,1.7763845350052248
asp.net,1.4629049111807733
git,1.4629049111807733
linux,1.4106583072100314
rest,1.4106583072100314
oops,1.3061650992685474
python,1.2539184952978055
html5,1.2539184952978055
database,1.2539184952978055
xml,1.2539184952978055
ajax,0.9926854754440961
json,0.9404388714733543
mobile,0.8881922675026124
bootstrap,0.8359456635318705
soap,0.7314524555903866
entity framework,0.7314524555903866
algorithms,0.7314524555903866
security,0.7314524555903866
oracle,0.6792058516196446
team player,0.6792058516196446
written communication,0.6269592476489028
svn,0.6269592476489028
api,0.6269592476489028
hibernate,0.5747126436781609
web api,0.5747126436781609
infrastructure,0.522466039707419
spring,0.522466039707419
information technology,0.522466039707419
data structures,0.522466039707419
windows,0.522466039707419
oop,0.4702194357366771
object oriented programming,0.4702194357366771
wordpress,0.4702194357366771
software developer,0.4702194357366771
angularjs,0.4702194357366771
magento,0.4702194357366771
codeigniter,0.41797283176593525
linq,0.41797283176593525
fundamentals,0.41797283176593525
vb.net,0.41797283176593525
mongodb,0.41797283176593525
rdbms,0.41797283176593525
j2ee,0.3657262277951933
java programming,0.3657262277951933
mvvm,0.3657262277951933
docker,0.3657262277951933
soa,0.3657262277951933
microsoft technologies,0.3657262277951933
technical skills,0.3657262277951933
os,0.3134796238244514
drupal,0.3134796238244514
rest api,0.3134796238244514
visual studio,0.3134796238244514
web technologies,0.3134796238244514
testing,0.3134796238244514
itskills,0.3134796238244514
triggers,0.3134796238244514
cakephp,0.3134796238244514
zend,0.3134796238244514
pl  /  sql,0.2612330198537095
c#.net,0.2612330198537095
eclipse,0.2612330198537095
uml,0.2612330198537095
ipc,0.2612330198537095
jsp,0.2612330198537095
web development,0.2612330198537095
joomla,0.2612330198537095
php developer,0.20898641588296762
nosql,0.20898641588296762
embedded software,0.20898641588296762
scala,0.20898641588296762
spring boot,0.20898641588296762
bug fixing,0.20898641588296762
swing,0.20898641588296762
apache,0.20898641588296762
memory management,0.20898641588296762
messaging,0.20898641588296762
ooad,0.20898641588296762
environment,0.20898641588296762
microsoft .net,0.20898641588296762
devops,0.20898641588296762
unix,0.20898641588296762
laravel,0.20898641588296762
software design,0.20898641588296762
ruby,0.20898641588296762
big data,0.1567398119122257
web services,0.1567398119122257
angular,0.1567398119122257
production support,0.1567398119122257
ado.net,0.1567398119122257
phonegap,0.1567398119122257
asp .net,0.1567398119122257
middleware,0.1567398119122257
san,0.1567398119122257
multithreading,0.1567398119122257
microsoft azure,0.1567398119122257
i2c,0.1567398119122257
xamarin,0.1567398119122257
node.js,0.1567398119122257
service oriented architecture,0.1567398119122257
cake,0.1567398119122257
cloud computing,0.1567398119122257
telecom,0.1567398119122257
vb,0.1567398119122257
postgresql,0.1567398119122257
hl7,0.1567398119122257
coding,0.1567398119122257
storage,0.1567398119122257
net,0.1567398119122257
mvc architecture,0.1567398119122257
qa,0.1567398119122257
spring mvc,0.1567398119122257
singleton,0.10449320794148381
microservices,0.10449320794148381
protocol stack,0.10449320794148381
,0.10449320794148381
yii,0.10449320794148381
oscommerce,0.10449320794148381
software development,0.10449320794148381
server management,0.10449320794148381
asp.net c#,0.10449320794148381
.net developer,0.10449320794148381
symfony,0.10449320794148381
ejb,0.10449320794148381
computer application,0.10449320794148381
jee,0.10449320794148381
technology,0.10449320794148381
web application development,0.10449320794148381
java developer,0.10449320794148381
activex,0.10449320794148381
mentor,0.10449320794148381
n-tier,0.10449320794148381
wcf,0.10449320794148381
salesforce,0.10449320794148381
uart,0.10449320794148381
microcontroller,0.10449320794148381
javascript developer,0.10449320794148381
hardware,0.10449320794148381
apex,0.10449320794148381
web developer,0.10449320794148381
design patterns,0.10449320794148381
unit testing,0.10449320794148381
software requirements,0.10449320794148381
network programming,0.10449320794148381
data warehousing,0.10449320794148381
tfs,0.10449320794148381
installshield,0.10449320794148381
cassandra,0.10449320794148381
communication,0.10449320794148381
enterprise java,0.10449320794148381
hosting,0.10449320794148381
shell scripting,0.10449320794148381
django,0.10449320794148381
grunt,0.10449320794148381
smarty,0.10449320794148381
lamp,0.10449320794148381
autosys,0.10449320794148381
