Skill,Frequency
javascript,5.212922173274596
jquery,4.1116005873715125
c,3.671071953010279
java,3.671071953010279
html,3.524229074889868
sql,3.303964757709251
css,3.15712187958884
mvc,3.010279001468429
.net,2.7900146842878124
c#,2.7900146842878124
php,2.7165932452276063
debugging,2.5697503671071953
problem solving,2.4963289280469896
mysql,2.4963289280469896
asp.net,2.0558002936857562
git,2.0558002936857562
linux,1.9823788546255507
rest,1.9823788546255507
oops,1.8355359765051396
python,1.762114537444934
html5,1.762114537444934
database,1.762114537444934
xml,1.762114537444934
ajax,1.3950073421439062
json,1.3215859030837005
mobile,1.2481644640234948
bootstrap,1.1747430249632893
soap,1.0279001468428781
entity framework,1.0279001468428781
algorithms,1.0279001468428781
security,1.0279001468428781
oracle,0.9544787077826725
team player,0.9544787077826725
written communication,0.881057268722467
svn,0.881057268722467
api,0.881057268722467
hibernate,0.8076358296622614
web api,0.8076358296622614
infrastructure,0.7342143906020557
spring,0.7342143906020557
information technology,0.7342143906020557
data structures,0.7342143906020557
windows,0.7342143906020557
oop,0.6607929515418502
object oriented programming,0.6607929515418502
wordpress,0.6607929515418502
software developer,0.6607929515418502
angularjs,0.6607929515418502
magento,0.6607929515418502
codeigniter,0.5873715124816447
linq,0.5873715124816447
fundamentals,0.5873715124816447
vb.net,0.5873715124816447
mongodb,0.5873715124816447
rdbms,0.5873715124816447
j2ee,0.5139500734214391
java programming,0.5139500734214391
mvvm,0.5139500734214391
docker,0.5139500734214391
soa,0.5139500734214391
microsoft technologies,0.5139500734214391
technical skills,0.5139500734214391
os,0.4405286343612335
drupal,0.4405286343612335
rest api,0.4405286343612335
visual studio,0.4405286343612335
web technologies,0.4405286343612335
testing,0.4405286343612335
itskills,0.4405286343612335
triggers,0.4405286343612335
cakephp,0.4405286343612335
zend,0.4405286343612335
pl  /  sql,0.36710719530102787
c#.net,0.36710719530102787
eclipse,0.36710719530102787
uml,0.36710719530102787
ipc,0.36710719530102787
jsp,0.36710719530102787
web development,0.36710719530102787
joomla,0.36710719530102787
