Company,Skills
torcai digital media private limited,"('testing', 'system testing', 'software engineer')"
YsecIT softwares India Private Limited.,"('c#', 'javascript', 'jquery', 'system analysis', 'asp.net', 'software engineer', 'rfid', 'mvc')"
immidart technologies llp,"('.net', 'debugging', 'software engineer', 'web api', 'problem solving', 'mvc', 'jquery')"
ixia solutions llp,"('c#', 'ajax', 'jquery', 'visual studio', 'asp.net', 'software engineer', 'technical skills')"
hashroot limited,"('html5', 'oops', 'software engineer', 'angularjs', 'mongodb', 'javascript')"
Finoux Solutions Private Limited,"('c#', 'rdbms', 'oracle', 'asp.net', 'software engineer', 'mysql', 'mvc', 'javascript', 'jquery')"
CONNECTING 2 WORK,"('c', 'c', 'sql', 'rtos', 'software engineer', 'software engineering')"
Vegayan Systems,"('c', 'c', 'windows', 'unix  /  solaris', 'linux', 'software engineer', 'gtk')"
Edifecs,"('java frameworks  sql experience  data processing  etl optimization  agile development', 'software engineer', 'big data', 'software delivery')"
Toogit Freelance,"('algorithms', 'python', 'system programming', 'java', 'debugging', 'software engineer', 'software developer', 'mongodb')"
Statlight Software Solutions,"('c#', 'microsoft technologies', 'mvc architecture', 'uml', 'asp.net', '.net', 'software engineer', 'forms')"
INDIAPROPERTY.com,"('information technology', 'javascript', 'sql', 'apache', 'xml', 'linux', 'php', 'software engineer', 'mysql', 'html', 'object oriented programming')"
full potential solutions,"('hive', 'pig', 'devops', 'flume', 'software engineer', 'software engineering', 'hadoop', 'oozie', 'written communication', 'infrastructure', 'sqoop')"
ZEUS SYSTEMS PVT. LTD,"('html5', 'problem solving', 'javascript', 'jquery', 'software engineer', 'object oriented programming')"
scientech technologies ltd,"('c#', 'c', 'python', 'c', 'it skills', 'vb.net', 'java', 'linux', 'php', 'software engineer', 'html', 'mysql')"
Sardonyx Technologies,"('c#', 'css', 'oracle', 'web based applications', 'ajax', 'javascript', 'jquery', 'xml', '.net', 'software engineer', 'mysql', 'html', 'mvc')"
gs tecknoserve pvt ltd,"('css', 'html5', 'javascript', 'jquery', 'web programming', 'security', 'php', 'software engineer', 'html', 'api')"
InsuringIndia,"('t-sql', 'jquery', 'sql', 'database', 'asp.net', 'software engineer', 'mvc', 'c#', 'entity framework', 'visual studio', 'linq')"
3RI Technologies Pvt Ltd,"('css', 'maven', 'javascript', 'sql', 'spring boot', 'node.js', 'database', 'java', 'git', 'software engineer', 'html')"
ORACLE,"('**   java programming', 'javascript development', 'software debugging', 'automation testing', 'api automation  **', 'css', 'html5', 'oracle', 'jsp', 'security', 'software engineer', 'problem solving')"
"SKYWALK VISA IMMIGRATION SERVICES LLP
     (More Jobs)","('cnc', 'engineer', 'software engineer', 'software developer', 'software programmer', 'application programmer', 'developer', 'systems engineer', 'desktop support engineer')"
Wipro Technologies Ltd,"('cad modeling', 'software development', 'problem solving', 'simulation analysis', 'client interaction', 'bi', 'software engineer', 'software integration')"
Textron India Pvt Ltd,"('c', 'database', 'java', 'mqtt', 'software engineer', 'software engineering', 'c#', 'python', 'laravel', 'microsoft azure', 'ruby', 'django', 'infrastructure', 'php')"
silverlink technilogies,"('hibernate', 'sso', 'sql', 'java', 'iam', 'pim', 'xml', 'debugging', 'software engineer', 'html', 'rest', 'oracle', 'access management', 'problem solving')"
NIRA Systems,"('c#', 'microsoft technologies', 'html5', 'team player', 'bootstrap', 'written communication', 'asp.net', 'web technologies', 'software engineer', 'software engineering', 'mvc')"
DREAMAJAX TECHNOLOGIES,"('css', 'html5', 'wordpress', 'joomla', 'lamp', 'ajax', 'javascript', 'jquery', 'drupal', 'cake', 'codeigniter', 'php', 'software engineer', 'mysql', 'wamp', 'smarty')"
Wipro Technologies Ltd,"('software development', 'cad modeling', 'simulation analysis', 'troubleshooting', 'client support', 'bi', 'software engineer', 'problem solving', 'software integration')"
Microsoft India Pvt Ltd,"('**  react development', 'typescript proficiency', 'javascript expertise', 'api design skills', 'software lifecycle knowledge **', 'c#', 'c', 'web developer', '.net', 'software engineer')"
