Company,Skills
torcai digital media private limited,"('testing\nsystem testing\nsoftware engineer',)"
YsecIT softwares India Private Limited.,"('c#\njavascript\njquery\nsystem analysis\nasp.net\nsoftware engineer\nrfid\nmvc',)"
immidart technologies llp,"('.net\ndebugging\nsoftware engineer\nweb api\nproblem solving\nmvc\njquery',)"
ixia solutions llp,"('c#\najax\njquery\nvisual studio\nasp.net\nsoftware engineer\ntechnical skills',)"
hashroot limited,"('html5\noops\nsoftware engineer\nangularjs\nmongodb\njavascript',)"
Finoux Solutions Private Limited,"('c#\nrdbms\noracle\nasp.net\nsoftware engineer\nmysql\nmvc\njavascript\njquery',)"
CONNECTING 2 WORK,"('c\nc\nsql\nrtos\nsoftware engineer\nsoftware engineering',)"
Vegayan Systems,"('c\nc\nwindows\nunix  /  solaris\nlinux\nsoftware engineer\ngtk',)"
Edifecs,"('java frameworks  sql experience  data processing  etl optimization  agile development\nsoftware engineer\nbig data\nsoftware delivery',)"
Toogit Freelance,"('algorithms\npython\nsystem programming\njava\ndebugging\nsoftware engineer\nsoftware developer\nmongodb',)"
full potential solutions,"('hive\npig\ndevops\nflume\nsoftware engineer\nsoftware engineering\nhadoop\noozie\nwritten communication\ninfrastructure\nsqoop',)"
INDIAPROPERTY.com,"('information technology\njavascript\nsql\napache\nxml\nlinux\nphp\nsoftware engineer\nmysql\nhtml\nobject oriented programming',)"
Statlight Software Solutions,"('c#\nmicrosoft technologies\nmvc architecture\numl\nasp.net\n.net\nsoftware engineer\nforms',)"
scientech technologies ltd,"('c#\nc\npython\nc\nit skills\nvb.net\njava\nlinux\nphp\nsoftware engineer\nhtml\nmysql',)"
Sardonyx Technologies,"('c#\ncss\noracle\nweb based applications\najax\njavascript\njquery\nxml\n.net\nsoftware engineer\nmysql\nhtml\nmvc',)"
ZEUS SYSTEMS PVT. LTD,"('html5\nproblem solving\njavascript\njquery\nsoftware engineer\nobject oriented programming',)"
gs tecknoserve pvt ltd,"('css\nhtml5\njavascript\njquery\nweb programming\nsecurity\nphp\nsoftware engineer\nhtml\napi',)"
InsuringIndia,"('t-sql\njquery\nsql\ndatabase\nasp.net\nsoftware engineer\nmvc\nc#\nentity framework\nvisual studio\nlinq',)"
3RI Technologies Pvt Ltd,"('css\nmaven\njavascript\nsql\nspring boot\nnode.js\ndatabase\njava\ngit\nsoftware engineer\nhtml',)"
ORACLE,"('**   java programming\njavascript development\nsoftware debugging\nautomation testing\napi automation  **\ncss\nhtml5\noracle\njsp\nsecurity\nsoftware engineer\nproblem solving',)"
"SKYWALK VISA IMMIGRATION SERVICES LLP
     (More Jobs)","('cnc\nengineer\nsoftware engineer\nsoftware developer\nsoftware programmer\napplication programmer\ndeveloper\nsystems engineer\ndesktop support engineer',)"
Wipro Technologies Ltd,"('cad modeling\nsoftware development\nproblem solving\nsimulation analysis\nclient interaction\nbi\nsoftware engineer\nsoftware integration',)"
Textron India Pvt Ltd,"('c\ndatabase\njava\nmqtt\nsoftware engineer\nsoftware engineering\nc#\npython\nlaravel\nmicrosoft azure\nruby\ndjango\ninfrastructure\nphp',)"
silverlink technilogies,"('hibernate\nsso\nsql\njava\niam\npim\nxml\ndebugging\nsoftware engineer\nhtml\nrest\noracle\naccess management\nproblem solving',)"
DREAMAJAX TECHNOLOGIES,"('css\nhtml5\nwordpress\njoomla\nlamp\najax\njavascript\njquery\ndrupal\ncake\ncodeigniter\nphp\nsoftware engineer\nmysql\nwamp\nsmarty',)"
NIRA Systems,"('c#\nmicrosoft technologies\nhtml5\nteam player\nbootstrap\nwritten communication\nasp.net\nweb technologies\nsoftware engineer\nsoftware engineering\nmvc',)"
Wipro Technologies Ltd,"('software development\ncad modeling\nsimulation analysis\ntroubleshooting\nclient support\nbi\nsoftware engineer\nproblem solving\nsoftware integration',)"
Microsoft India Pvt Ltd,"('**  react development\ntypescript proficiency\njavascript expertise\napi design skills\nsoftware lifecycle knowledge **\nc#\nc\nweb developer\n.net\nsoftware engineer',)"
quadratyx,"('css\nbootstrap\njquery\njava\nsoftware engineer\nhtml\ntechnical skills\npython\nproblem solving\njavascript\nooad',)"
Microsoft India Pvt Ltd,"('software development\nweb technologies\nagile methodology\nuser experience design\ndebugging tools\ncss\njava\nsoftware engineer\nhtml\nc#\nteam player\njavascript',)"
Nvidia Graphics Pvt Ltd,"('**    c  /  c   programming\nnetwork topology design\nrouting algorithms knowledge\nperformance optimization\ndocker cloud setup  **\nsimulator\nnetwork management\ncomputer graphics\nwritten communication\nsoftware engineer\nsoftware engineering',)"
Aticara Technology,"('c\nstorage\nsecurity\nlinux\ndebugging\nsoftware engineer\nc\nsoftware testing\ninfrastructure',)"
Nvidia Graphics Pvt Ltd,"('**  c   programming\npython development\nobject oriented programming\ndocumentation writing\nteam collaboration **\nfreebsd\noop\nlinux\nsoftware engineer\nkernel\nwindows',)"
Flytxt Mobile Solutions Pvt Ltd,"('rest\nhibernate\njquery\nspring\njava\nstruts\nj2ee\nsoftware engineer\nsoftware engineering\nmysql\nhtml\nunix',)"
virtual engineering services pvt. ltd.,"('c\ncss\njava\ndebugging\nsoftware engineer\nhtml\nc#\nproblem solving\njavascript\nexceptions\nweb technologies\n.net\nforms',)"
Myntra,"('frontend development\nmobile apps\nuser interface design\nreact native\nui architecture\ncss\nhtml5\nsoftware engineer\nimaging\njavascript',)"
Microsoft India Pvt Ltd,"('**   cloud computing\ncontainer technology\nc  /  c    /  c# development\nscalable services\ncollaborative problem solving  **\nsecurity\njava\nsoftware engineer\ncloud services',)"
Infoblox,"('golang development\ncloud platforms\nnetworking solutions\nsystem architecture\nmicroservices development\norchestration\ndocker\nsoftware engineer\nsoftware engineering\napi\nrest\npython\ninfrastructure',)"
a&w engineering works pvt ltd.,"('c  /  c   programming\nobject oriented programming\ndesign patterns\nlinux environment\nmulti threading\npython\ngit\nsoftware engineer\nshell scripting\nmultithreading\nipc\ndigital signal processing\nmiddleware',)"
Aeris Communications,"('core java\nsql\ndesign patterns\nspring\nagile\nfundamentals\nhibernate\nmemory management\nxml\njson\nsoftware engineer\ntelecom\ndata structures\nrest',)"
Icubespro,"('css\nsoftware design\nbootstrap\njquery\ngit\noops\nasp.net\nsoftware engineer\nhtml\nmysql\nmvc\nc#\nentity framework\nasp .net\njavascript\nwindows forms\n.net',)"
Efftronics Systems Pvt Ltd,"('fundamentals\nc\nhtml5\njava\numl\ndebugging\nsoftware engineer\nobject oriented programming\nperl\nrest\npython\nc\nmobile\nproblem solving\njavascript\nnosql\nruby\njava programming',)"
vrindi inc,"('html5\nado.net\nbootstrap\njquery\nsql\nasp.net\ndebugging\nsoftware engineer\nsoftware engineering\napi\nweb designing\nphonegap\nmongodb\nentity framework\nxamarin\nmobile\nwindows\nlinq\numbraco',)"
GreenField Software Private Limited.,"('rest api\nhibernate\ndocker\njava\nspring mvc\nxml\nj2ee\njson\nsoftware engineer\ntechnical skills\nrdbms\njavascript\nweb technologies\nsoftware developer',)"
LAKSH HUMAN RESOURCE,"('algorithms\nhtml5\nbootstrap\najax\njquery\nsql\napache\nlinux\nsoftware engineer\ndata structures\nmysql\ncakephp\nmobile\nproblem solving\nnode.js\nenvironment\nooad\nphp',)"
Microsoft India Pvt Ltd,"('distributed systems\nagile methodology\ncloud technologies\nperformance profiling\ndebugging techniques\nc\njava\ndevops\nsoftware engineer\nsoftware engineering\nc#\nsan\npython\ncache\nmachine learning\njavascript\nhigh performance computing',)"
bizbrainz technologies pvt ltd,"('css\nwordpress\najax\njquery\ncake\nxml\ncodeigniter\nsoftware engineer\nmysql\nhtml\nobject oriented programming\nmvc\nmagento\nrdbms\njoomla\njavascript\ndrupal\nphp\nsmarty',)"
targray india pvt ltd,"('ms dynamics crm\npower platform\n\nnet core\nc#  &  javascript\nsql queries\ndevops\nssrs\n.net\nstorage\nsecurity\nmicrosoft .net\nsoftware engineer\nrest\nteam player\nproblem solving',)"
ORACLE,"('java development\npl  /  sql proficiency\nrestful services\nscripting languages\ncloud technologies\nsecurity\ndatabase\ndebugging\nsoftware engineer\nsoftware engineering\nmvc\nmiddleware\noracle\nmobile',)"
Myntra,"('reactjs\njavascript\nhtml  /  css\nwebpack\nrestful apis\nartificial intelligence\nelastic search\ngit\nsoftware engineer\nmysql\nbig data\npython\nmachine learning\nnode.js\ncassandra',)"
Moody's Corporation,"('**    software development\nalgorithm design\nperformance tuning\ndata processing\ncross functional collaboration  **\nalgorithms\nsoftware design\nsql\nmemory management\nsoftware engineer\nsoftware engineering\nc#\npython\n.net',)"
ORACLE,"('android development\njava programming\nobjective c\nreact native\nswift programming\ncss\nhtml5\nstorage\nsecurity\nxml\nsoftware engineer\napi\noracle\nmobile\nwritten communication',)"
Microsoft India Pvt Ltd,"('**   software development\nfront end programming\neffective communication\nuser experience focus\nproblem solving  **\nc\njava\nsoftware engineer\napi\nc#\npython\njavascript\n.net',)"
fixfin technologies pvt ltd,"('css\nhtml5\nwordpress\nece\nphp developer\njquery\ndatabase\noscommerce\ncodeigniter\nyii\nzend\nsoftware engineer\nmysql\nhtml\nmvc\nmagento\ncakephp\ntriggers\ndrupal\nphp',)"
Moody's Corporation,"('middleware infrastructure\napache tomcat management\napplication server troubleshooting\nautomation scripting tools\nsecurity protocol implementation\norchestration\ninformation technology\noracle weblogic\ndocker\njava ee\nsoftware engineer\nshell scripting\nproduction environment',)"
autodesk india pvt ltd,"('c   programming\nc# programming\nalgorithm design\ndata structures\ncommunication skills\nalgorithms\noop\ngit\nsoftware engineer\nhtml\nmfc\njavascript\nconsultant\n.net',)"
Microsoft India Pvt Ltd,"('**   big data processing\nmachine learning\nstatistical analysis\nweb services development\ndata analytics  **\nc\ndata mining\njava\nsoftware engineer\nc#\npython\ninformation retrieval\njavascript',)"
bentley systems pvt ltd,"('spark data pipelines\nscala programming\npython automation\ndata quality checks\nbig data processing\ninfrastructure engineering\nsoftware engineer\nmining\nmachine learning\nproject delivery',)"
Moody's Corporation,"('c# development\n\nnet ecosystem\nmicrosoft azure\ncontainerization\nfinancial domain\norchestration\nsql\ndocker\nsoftware engineer\nmvc\n.net',)"
bentley systems pvt ltd,"('oo design  &  development\ndelphi  &  c\ndesktop applications\ncloud software\nagile environment\nbug fixing\nsoftware engineer\npython\njavascript',)"
Moody's Corporation,"('**   salesforce development\napex programming\nlightning components\ndata modeling\nsystems integration  **\nrest api\njava\ndevops\nhtml\nsoap\nsecurity\nsoftware engineer\nsalesforce developer\nant',)"
Microsoft India Pvt Ltd,"('large scale systems\nc   development\nmachine learning\nperformance optimization\ndistributed systems\nfundamentals\njava\ndevops\ndebugging\nsoftware engineer\nsoftware engineering\nc#\nsan\npython\njavascript',)"
highrise solutions llp,"('php\nsymfony\nc\nsql  /  mysql\natlassian tools\nssrs\nweb development\ngithub\nsoftware design\nbi\nsecurity\nsoftware engineer\nmobile\nproblem solving\nmachine learning',)"
Moody's Corporation,"('salesforce development\nlightning components\napex coding standards\napi integration\nagile methodologies\nrest api\njava\ndevops\nhtml\nsoap\nsecurity\nsoftware engineer\nsalesforce developer\nant',)"
IBM India Pvt Ltd,"('golang  /  python  containers  /  openshift  /  kubernetes  rhel  /  linux os  continuous integration  problem solving\nstorage\nfile system\ngit\ndebugging\nsoftware engineer\ncloud storage',)"
Edifecs,"('java frameworks knowledge\nmicroservices development\nsql  /  nosql experience\ntest driven development\nweb application design\nmockito\nartificial intelligence\nspring\nsoftware engineer\njpa\nbig data\njunit\nnatural language processing\nsoftware delivery\nmachine learning\njavascript',)"
IBM India Pvt Ltd,"('storage design\nstorage development\ngolang  /  python\ncontainers  /  openshift  /  kubernetes\nproblem solving\nfile system\ngit\nlinux\ndebugging\nsoftware engineer\nos\ncloud storage',)"
Dquip,"('service oriented\ncss\nsoa\nxml\ndata structures\nsoftware engineering\nhtml\nmysql\njavascript\nsoap\nfundamentals\nalgorithms\noops\nsoftware engineer\nmvc\nbusiness applications\nrest\nrdbms\nteam player\nwindows\nwritten communication\nphp\nunix   /   linux',)"
IBM India Pvt Ltd,"('golang  /  python\ncontainers  /  openshift  /  kubernetes\nproblem solving\ncommunication skills\ncontinuous integration\nstorage\nfile system\ngit\nlinux\ndebugging\nsoftware engineer\nos\ncloud storage',)"
